Concentration 	 Intensity 	 Mean V 	 STD V 

0.1	218.412000	219.036000	0.326656
0.1	218.292000	218.916000	0.494918
0.1	217.140000	217.764000	1.476585
0.05	119.940000	120.564000	1.172137
0.05	119.604000	120.228000	0.794994
0.05	119.376000	120.000000	0.000000
0.02	56.184000	56.808000	0.826520
0.02	56.376000	57.000000	0.000000
0.02	52.968000	53.592000	4.857318
0.01	28.056000	28.680000	1.489161
0.01	28.188000	28.812000	1.467193
0.01	25.152000	25.776000	3.448742
0.001	9.072000	9.696000	1.266327
0.001	8.604000	9.228000	0.794994
0.001	8.556000	9.180000	0.712461
0.0005	6.972000	7.596000	1.496925
0.0005	6.912000	7.536000	1.499568
0.0005	4.020000	4.644000	3.296857
0.0001	6.744000	7.368000	1.494181
0.0001	6.636000	7.260000	1.480676
0.0001	7.116000	7.740000	1.480676
0.00001	6.060000	6.684000	1.258628
0.00001	6.612000	7.236000	1.476585
0.00001	5.952000	6.576000	1.885795
