Concentration 	 Intensity 	 Mean V 	 STD V 

1	338.460000	339.096000	0.528000
1	338.352000	338.988000	0.189357
1	336.828000	337.464000	1.499568
0.1	217.572000	218.208000	1.322398
0.1	217.344000	217.980000	1.421126
0.1	216.852000	217.488000	1.499952
0.05	119.364000	120.000000	0.000000
0.05	119.364000	120.000000	0.000000
0.05	115.932000	116.568000	2.857512
0.02	56.364000	57.000000	0.000000
0.02	56.364000	57.000000	0.000000
0.02	55.824000	56.460000	2.051439
0.01	28.080000	28.716000	1.484367
0.01	27.876000	28.512000	1.499952
0.01	28.548000	29.184000	1.334970
0.001	8.652000	9.288000	0.883774
0.001	8.364000	9.000000	0.000000
0.001	8.412000	9.048000	0.376425
0.0005	7.188000	7.824000	1.815771
0.0005	7.116000	7.752000	1.478680
0.0005	8.148000	8.784000	2.344642
0.0001	6.036000	6.672000	1.250766
0.0001	6.240000	6.876000	1.364047
0.0001	3.156000	3.792000	3.109459
0.00001	6.780000	7.416000	1.497646
0.00001	6.660000	7.296000	1.486063
0.00001	6.624000	7.260000	1.480676
