Concentration 	 Intensity 	 Mean V 	 STD V 

0.1	217.548000	218.364000	1.391224
0.1	218.784000	219.600000	1.200000
0.1	218.028000	218.844000	2.098491
0.1	217.224000	218.040000	1.399428
0.1	217.200000	218.016000	1.408454
0.05	117.972000	118.788000	1.612159
0.05	119.148000	119.964000	0.326656
0.05	118.524000	119.340000	1.242739
0.05	118.536000	119.352000	1.762979
0.05	117.768000	118.584000	2.547733
0.02	56.112000	56.928000	1.312561
0.02	55.932000	56.748000	0.832163
0.02	54.840000	55.656000	1.491866
0.02	55.944000	56.760000	1.112834
0.02	55.872000	56.688000	0.915782
0.01	27.144000	27.960000	1.569204
0.01	28.044000	28.860000	1.456159
0.01	27.276000	28.092000	1.443446
0.01	27.216000	28.032000	1.425123
0.01	26.868000	27.684000	1.258628
0.001	8.472000	9.288000	0.883774
0.001	8.220000	9.036000	0.326656
0.001	8.376000	9.192000	1.664673
0.001	8.700000	9.516000	1.309100
0.001	8.232000	9.048000	0.376425
0.0005	6.636000	7.452000	1.499232
0.0005	6.624000	7.440000	1.498800
0.0005	6.816000	7.632000	1.494181
0.0005	6.852000	7.668000	1.650992
0.0005	6.036000	6.852000	1.619289
0.0001	5.232000	6.048000	1.858412
0.0001	7.812000	8.628000	1.124996
0.0001	6.288000	7.104000	1.446784
0.0001	6.228000	7.044000	1.429008
0.0001	6.960000	7.776000	1.474389
0.00001	6.612000	7.428000	1.498271
0.00001	6.156000	6.972000	1.404000
0.00001	5.568000	6.384000	1.952574
0.00001	6.180000	6.996000	1.412793
0.00001	6.600000	7.416000	1.497646
