Concentration 	 Intensity 	 Mean V 	 STD V 

0	62.940000	63.000000	0.000000
1000	65.928000	65.988000	0.189357
2000	63.060000	63.120000	0.587878
3000	63.852000	63.912000	1.379948
4000	69.732000	69.792000	1.322398
5000	66.012000	66.072000	0.459147
